dna_seq_sample_name,dir_dnaseq,dharma_id
N03-1B-BLAST,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ADV75-ADW8F/fastq,196
N04-1B-BLAST,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ADV75-ADW8F/fastq,197
N04-1B-BULK,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ADV75-ADW8F/fastq,198
N05-1B,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ADV75-ADW8F/fastq,201
N06-1B,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160830_ADWAR/fastq,204
T13-1M,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160830_ADWAR/fastq,205
T14-1M,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ADV75-ADW8F/fastq,206
138020449,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,209
138030023,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,210
137993388,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,211
138000406,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,212
138033656,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,213
138044214,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,214
138024044,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,215
138007820,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,216
138045307,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,217
138034317,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,218
138058872,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,219
138087582,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,220
137864232,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,221
138059703,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,222
138060544,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,223
138062163,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,224
138037431,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,225
138063069,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,226
138062694,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,227
138062312,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,229
138062692,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,230
138063930,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,231
138088590,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,232
138022925,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,233
138023507,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,234
138465223,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,235
137862160,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,236
138044143,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,237
138007446,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,238
138044970,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,239
138007812,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,240
138080655,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,241
138046122,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,242
138082996,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,243
138017608,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,244
138053781,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,245
138053944,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,246
138058498,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,247
138064135,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,248
138053535,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,249
138064065,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,250
137864264,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,251
138046835,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,252
138047856,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,253
138023704,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,254
138017584,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,256
138026988,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,257
138088097,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,258
138053396,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,259
138053473,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,260
138053977,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,261
138085642,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,262
138053845,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,263
138055709,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,264
138012897,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,265
138053868,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,266
138054657,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,267
138029803,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,268
138022679,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,269
138022667,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,270
138062707,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,271
138022898,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,272
138031600,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,273
138039073,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,274
138062876,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,275
138022618,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,276
138022939,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,278
138054217,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,279
138055087,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,280
138087897,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,281
137972975,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,282
137973950,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,283
138008787,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,284
138089173,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,285
138063108,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,286
137993147,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,287
138016139,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,288
138465227,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,289
137975251,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,290
138082042,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,291
138053534,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,292
138054532,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,293
138062561,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,294
138022620,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,295
138023054,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,296
